 DEBUG root [2018-05-21 15:30:44,443] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//NormalFB
 DEBUG root [2018-05-21 15:30:44,443] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/NormalFBBase.cs
 DEBUG root [2018-05-21 15:30:44,451] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallNormalFBBase.cs
 DEBUG root [2018-05-21 15:30:44,455] - Script::uninstall_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-05-21 15:30:44,455] - Script::uninstall_py_dlls(): PyInit__socket
 DEBUG root [2018-05-21 15:30:44,456] - Script::uninstall_py_dlls(): PyInit__ssl
 DEBUG root [2018-05-21 15:30:44,456] - Script::uninstall_py_dlls(): PyInit__hashlib
 DEBUG root [2018-05-21 15:30:44,456] - Script::uninstall_py_dlls(): PyInit_select
 DEBUG root [2018-05-21 15:30:44,456] - Script::uninstall_py_dlls(): PyInit__ctypes
 DEBUG root [2018-05-21 15:30:44,456] - Script::uninstall_py_dlls(): PyInit__elementtree
 DEBUG root [2018-05-21 15:30:44,456] - Script::uninstall_py_dlls(): PyInit_unicodedata
  INFO root [2018-05-21 15:30:44,466] - Script::uninstall(): is successfully!
 DEBUG root [2018-05-21 15:30:44,466] - ThreadPool::destroy(): starting size 2.
  WARN root [2018-05-21 15:30:44,767] - ThreadPool::destroy(): waiting for thread(2)[0x3ac4ce8,0x3ac55d8,], try=1
 DEBUG root [2018-05-21 15:30:45,168] - TPThread::~TPThread(): 0x3ac4ce8
 DEBUG root [2018-05-21 15:30:45,168] - TPThread::~TPThread(): 0x3ac55d8
 DEBUG root [2018-05-21 15:30:45,169] - ThreadPool::destroy(): successfully!
 DEBUG root [2018-05-21 15:30:45,179] - Bundle::destroyObjPool(): size 13.
 DEBUG root [2018-05-21 15:30:45,179] - Channel::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:30:45,180] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:30:45,180] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:30:45,180] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:30:45,181] - Address::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:30:45,181] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 15:30:45,181] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2018-05-21 15:30:45,181] - tool(0) has shut down. ClientSDK=1
  INFO root [2018-05-21 15:30:46,182] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2018-05-21 15:47:16,514] - 
  INFO root [2018-05-21 15:47:16,515] - -----------------------------------------------------------------------------------------


  INFO root [2018-05-21 15:47:16,515] - Resmgr::initialize: KBE_ROOT=D:/noah/ChessWarrior/server/
  INFO root [2018-05-21 15:47:16,515] - Resmgr::initialize: KBE_RES_PATH=D:/noah/ChessWarrior/server/kbe/res/;D:/noah/ChessWarrior/server/chess_assets/;D:/noah/ChessWarrior/server/chess_assets/scripts/;D:/noah/ChessWarrior/server/chess_assets/res/
  INFO root [2018-05-21 15:47:16,515] - Resmgr::initialize: KBE_BIN_PATH=D:/noah/ChessWarrior/server/kbe/bin/server/
  INFO root [2018-05-21 15:47:16,517] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.111 ( 192.168.0.111:56020 )
  INFO root [2018-05-21 15:47:16,517] - NetworkInterface::initialize(INTERNAL): address 192.168.0.111:56020, SOMAXCONN=5.
  INFO root [2018-05-21 15:47:16,522] - ---- tool Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: F217117F928F68467C45B47BA31B1B8B. Config: Debug X86. Built: 15:51:05 May 15 2018. AppID: 0. UID: 1006. PID: 8480 ----
  INFO root [2018-05-21 15:47:16,522] - Server : Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz with 2097151kB RAM
  INFO root [2018-05-21 15:47:16,522] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-05-21 15:47:16,522] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
 DEBUG root [2018-05-21 15:47:16,663] - Script::install_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-05-21 15:47:16,664] - Script::install_py_dlls(): PyInit__socket
 DEBUG root [2018-05-21 15:47:16,665] - Script::install_py_dlls(): PyInit__ssl
 DEBUG root [2018-05-21 15:47:16,668] - Script::install_py_dlls(): PyInit__hashlib
